ID	タイトル	コアメカニクス	カテゴリ	工数
001	BlockFlow	色付きブロックをスワイプして同色を全て繋げる	puzzle	S
002	MirrorMaze	鏡を配置してレーザーをゴールへ誘導する	puzzle	M
003	GravitySwitch	重力方向を4方向に切り替えてボールをゴールへ導く	puzzle	S
004	WordCrystal	クリスタルを砕くと文字が出て英単語を作る	puzzle	M
005	PipeConnect	水道管パーツを回転させて水源から出口まで繋げる	puzzle	S
006	ShadowMatch	3Dオブジェクトの影が指定のシルエットと一致するよう回転させる	puzzle	S
007	NumberFlow	数字を1から順に繋げて盤面を全マス埋める	puzzle	S
008	IcePath	氷の上を滑って一筆書きで全マスを通過する	puzzle	S
009	ColorMix	絵の具を混ぜて指定の色を正確に再現する	puzzle	S
010	GearSync	歯車の向きを合わせて機械を起動させる	puzzle	M
011	FoldPaper	紙を折り畳んで指定の形を作る折り紙パズル	puzzle	M
012	BridgeBuilder	橋のパーツを配置して車が安全に渡れる橋を作る	puzzle	M
013	SymmetryDraw	線を引くと左右対称にも描かれ、指定の絵を完成させる	puzzle	S
014	MagnetPath	磁石の極性（N/S）を切り替えて鉄球を誘導する	puzzle	M
015	TileTurn	タイルを回転させて全体の絵柄を完成させる	puzzle	S
016	LightSwitch	電球のオンオフパターンで暗号を解読する	puzzle	S
017	CrystalSort	色のついたクリスタルを同色の瓶に正しく分類する	puzzle	S
018	TimeRewind	コマを動かした後に時間を巻き戻してゴールを達成する逆算パズル	puzzle	L
019	PathCut	最小手数でロープをカットしてボールを星に当てて落とす	puzzle	S
020	EchoMaze	音のエコーと反響だけを頼りに見えない迷路を進む	puzzle	L
021	BladeDash	迫りくる刃を避けながらコインを集めるエンドレスラン	action	S
022	GravityBall	上下反転を繰り返しながら障害物をよける反射アクション	action	S
023	ChainSlash	敵を鎖で繋いで一気に倒すコンボスラッシュ	action	M
024	BubblePop	迫ってくるバブルをタップで破裂させるアーケード	action	S
025	TowerDefend	指でドラッグして壁を描き敵の進行を止めるタワーディフェンス	action	M
026	SliceNinja	飛んでくる物体をスワイプで切り爆弾は避ける忍者ゲーム	action	S
027	DotDodge	画面を埋め尽くす無数のドットを避け生き延びるサバイバル	action	S
028	RopeSwing	ロープを掴んで振り子運動でステージを渡り歩く	action	M
029	MeteorShield	落下する隕石をシールドで弾いて星を守るディフェンス	action	S
030	FingerRacer	指でなぞったコースを車が走るフィンガーレース	action	M
031	BounceKing	ボールをバウンドさせてブロックを全破壊するブレイクアウト	action	S
032	SpinCutter	回転する刃の軌道をコントロールして敵を一掃する	action	M
033	AimSniper	揺れるスコープでタイミングよくタップして動くターゲットを撃つ	action	S
034	DropZone	落下するアイテムをドラッグして正しいゾーンに分類する	action	S
035	WaveRider	波に乗ってサーフィンし岩を避けながらトリックでスコアを稼ぐ	action	M
036	CoinStack	落下するコインをタイミングよく積み上げ崩れないタワーを作る	action	S
037	ZapChain	敵に触れると電撃が連鎖して多数をまとめて倒す	action	M
038	FlyBird	ワンタップ操作で障害物の隙間をすり抜けて飛び続ける	action	S
039	BoomerangHero	ブーメランを投げ軌道を指でなぞり操作して敵を倒す	action	M
040	DashDungeon	ワンタップでダッシュ方向を切り替えながらダンジョンを突破	action	M
041	StackJump	タイミングよくタップしてプラットフォームを積み上げ高さを競う	casual	S
042	ColorDrop	色付きの雨粒を同色のバケツにスワイプで振り分ける	casual	S
043	BallSort3D	3Dのカップで色のボールを同色ごとに整理する	casual	S
044	TiltMaze	デバイスを傾けてボールを迷路の出口へ転がす	casual	S
045	FingerPaint	BGMのリズムに乗ってキャンバスに指で絵を描く	casual	S
046	SqueezePop	絞ると色が出るチューブで画面全体を塗りつぶす	casual	S
047	SpinBalance	画面を回転させて端から落ちないようコマを保持し続ける	casual	S
048	GlassBall	ガラスの傾斜面を滑るボールを目的地へ誘導する	casual	S
049	CloudHop	消える雲を素早く踏み台にして空高く跳ね上がる	casual	S
050	BubbleSort	浮かんでくる色バブルを色ごとに分けて並べる	casual	S
051	DrawBridge	橋を指で描いてボールを転がしゴールへ届ける	casual	S
052	HammerNail	リズムよくタップして釘を打ち込む爽快ゲーム	casual	S
053	SlideBlitz	スライドパズルをいかに速く解けるかのタイムアタック	casual	S
